Designator,Footprint,Quantity,Value,LCSC Part #
C1,C603,1,10u 25V,C96446
C2,C603,1,100n 50V,C14663
"J1, J2, J3, J4, J5, J6",SolderWirePad_1x01_SMD_1x2mm,6,Conn_01x01_Pin,DNP
U1,LED_Inolux_IN-PI554FCH_PLCC4_5.0x5.0mm_P3.2mm,1,XL-5050RGBC,C2843785
